order_id,timestamp,restaurant_id,customer_id,order_type,items,total_amount,payment_method,order_status,created_at
ORD-20250715-626699,2025-07-15T10:05:32.174781,REST-SHJ-001,CUST-10215,dine_in,"[{""item_id"": ""ITEM-302"", ""name"": ""Chicken Tikka Masala"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 52.43, ""subtotal"": 104.86}]",104.86,wallet,delivered,2025-07-15T10:05:32.174781
ORD-20250715-398455,2025-07-15T10:38:35.174781,REST-SHJ-001,CUST-10166,dine_in,"[{""item_id"": ""ITEM-604"", ""name"": ""Fresh Lime Soda"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 11.69, ""subtotal"": 35.07}, {""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 9.23, ""subtotal"": 9.23}, {""item_id"": ""ITEM-203"", ""name"": ""Palak Paneer"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 42.48, ""subtotal"": 127.44}, {""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 33.29, ""subtotal"": 99.87}, {""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 52.39, ""subtotal"": 104.78}]",376.39,wallet,completed,2025-07-15T10:38:35.174781
ORD-20250715-108293,2025-07-15T11:02:16.174781,REST-DXB-001,CUST-10217,dine_in,"[{""item_id"": ""ITEM-302"", ""name"": ""Chicken Tikka Masala"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 49.85, ""subtotal"": 99.7}, {""item_id"": ""ITEM-601"", ""name"": ""Masala Chai"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 12.3, ""subtotal"": 24.6}, {""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 52.06, ""subtotal"": 104.12}, {""item_id"": ""ITEM-202"", ""name"": ""Dal Makhani"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 36.22, ""subtotal"": 36.22}, {""item_id"": ""ITEM-604"", ""name"": ""Fresh Lime Soda"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 11.57, ""subtotal"": 34.71}]",299.35,wallet,delivered,2025-07-15T11:02:16.174781
ORD-20250715-316377,2025-07-15T11:03:49.174781,REST-DXB-002,CUST-10019,delivery,"[{""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 44.67, ""subtotal"": 89.34}, {""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 15.36, ""subtotal"": 46.08}, {""item_id"": ""ITEM-105"", ""name"": ""Chicken Seekh Kebab"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 42.92, ""subtotal"": 128.76}, {""item_id"": ""ITEM-602"", ""name"": ""Mango Lassi"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 18.44, ""subtotal"": 55.32}]",319.5,wallet,delivered,2025-07-15T11:03:49.174781
ORD-20250715-504656,2025-07-15T11:43:43.174781,REST-SHJ-001,CUST-10045,dine_in,"[{""item_id"": ""ITEM-204"", ""name"": ""Malai Kofta"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 42.08, ""subtotal"": 126.24}, {""item_id"": ""ITEM-402"", ""name"": ""Garlic Naan"", ""category"": ""Bread"", ""quantity"": 2, ""unit_price"": 9.98, ""subtotal"": 19.96}, {""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 3, ""unit_price"": 18.12, ""subtotal"": 54.36}, {""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 7.74, ""subtotal"": 7.74}, {""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 20.17, ""subtotal"": 20.17}]",228.47,wallet,completed,2025-07-15T11:43:43.174781
ORD-20250715-592820,2025-07-15T11:58:04.174781,REST-AUH-002,CUST-10431,delivery,"[{""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 45.83, ""subtotal"": 137.49}, {""item_id"": ""ITEM-203"", ""name"": ""Palak Paneer"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 41.42, ""subtotal"": 41.42}, {""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 22.27, ""subtotal"": 44.54}, {""item_id"": ""ITEM-504"", ""name"": ""Gajar Halwa"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 22.83, ""subtotal"": 22.83}]",246.28,wallet,delivered,2025-07-15T11:58:04.174781
ORD-20250715-569660,2025-07-15T12:19:21.174781,REST-AUH-001,CUST-10129,takeaway,"[{""item_id"": ""ITEM-601"", ""name"": ""Masala Chai"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 11.44, ""subtotal"": 34.32}, {""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 21.87, ""subtotal"": 65.61}, {""item_id"": ""ITEM-504"", ""name"": ""Gajar Halwa"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 21.45, ""subtotal"": 21.45}, {""item_id"": ""ITEM-404"", ""name"": ""Tandoori Roti"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 5.81, ""subtotal"": 5.81}]",127.19,card,completed,2025-07-15T12:19:21.174781
ORD-20250715-772360,2025-07-15T12:40:49.174781,REST-DXB-001,CUST-10234,dine_in,"[{""item_id"": ""ITEM-601"", ""name"": ""Masala Chai"", ""category"": ""Beverage"", ""quantity"": 1, ""unit_price"": 12.3, ""subtotal"": 12.3}, {""item_id"": ""ITEM-303"", ""name"": ""Lamb Rogan Josh"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 64.26, ""subtotal"": 192.78}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 47.8, ""subtotal"": 143.4}, {""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 8.99, ""subtotal"": 26.97}]",375.45,cash,delivered,2025-07-15T12:40:49.174781
ORD-20250715-590241,2025-07-15T13:18:06.174781,REST-DXB-001,CUST-10275,takeaway,"[{""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 19.69, ""subtotal"": 39.38}, {""item_id"": ""ITEM-205"", ""name"": ""Chole Bhature"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 38.2, ""subtotal"": 38.2}, {""item_id"": ""ITEM-404"", ""name"": ""Tandoori Roti"", ""category"": ""Bread"", ""quantity"": 2, ""unit_price"": 6.18, ""subtotal"": 12.36}, {""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 2, ""unit_price"": 8.99, ""subtotal"": 17.98}, {""item_id"": ""ITEM-202"", ""name"": ""Dal Makhani"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 36.22, ""subtotal"": 72.44}]",180.36,wallet,completed,2025-07-15T13:18:06.174781
ORD-20250715-369279,2025-07-15T13:49:21.174781,REST-SHJ-001,CUST-10170,takeaway,"[{""item_id"": ""ITEM-404"", ""name"": ""Tandoori Roti"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 6.2, ""subtotal"": 18.6}, {""item_id"": ""ITEM-105"", ""name"": ""Chicken Seekh Kebab"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 41.43, ""subtotal"": 82.86}, {""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 52.39, ""subtotal"": 157.17}, {""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 7.74, ""subtotal"": 23.22}, {""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 46.61, ""subtotal"": 46.61}]",328.46,cash,delivered,2025-07-15T13:49:21.174781
ORD-20250715-104297,2025-07-15T13:59:33.174781,REST-AUH-001,CUST-10152,delivery,"[{""item_id"": ""ITEM-205"", ""name"": ""Chole Bhature"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 40.45, ""subtotal"": 40.45}, {""item_id"": ""ITEM-502"", ""name"": ""Rasmalai (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 18.41, ""subtotal"": 18.41}, {""item_id"": ""ITEM-604"", ""name"": ""Fresh Lime Soda"", ""category"": ""Beverage"", ""quantity"": 1, ""unit_price"": 11.77, ""subtotal"": 11.77}, {""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 15.28, ""subtotal"": 30.56}, {""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 2, ""unit_price"": 7.82, ""subtotal"": 15.64}]",116.83,wallet,completed,2025-07-15T13:59:33.174781
ORD-20250715-538687,2025-07-15T14:05:37.174781,REST-AUH-002,CUST-10351,takeaway,"[{""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 17.49, ""subtotal"": 17.49}]",17.49,wallet,delivered,2025-07-15T14:05:37.174781
ORD-20250715-801570,2025-07-15T14:14:07.174781,REST-AUH-002,CUST-10249,delivery,"[{""item_id"": ""ITEM-502"", ""name"": ""Rasmalai (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 18.66, ""subtotal"": 55.98}]",55.98,cash,delivered,2025-07-15T14:14:07.174781
