review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20250719-697725,CUST-10189,REST-AUH-002,Hands down the best Fresh Lime Soda I've ever had! Fresh Lime Soda  Chicken Tikka Masala  Mango Lassi  and Garlic Naan were all prepared beautifully. Fresh and flavorful!,5,2025-07-23T11:43:31.174781
REV-000003,ORD-20250724-794249,CUST-10000,REST-SHJ-001,Good quality food. Aloo Tikki Chaat  Malai Kofta  Jeera Rice  Tandoori Roti  and Butter Chicken were nicely done. Malai Kofta could have been slightly spicier but still good!,4,2025-07-29T21:08:04.174781
REV-000002,ORD-20250723-424252,CUST-10311,REST-DXB-002,Enjoyed the Vegetable Biryani  Fish Curry  Chicken 65  and Rasmalai (2 pcs)! Chicken 65 was very good. Portion sizes were generous. Recommend!,4,2025-07-30T11:45:00.174781
REV-000005,ORD-20250730-831474,CUST-10040,REST-SHJ-001,Poor experience. Rasmalai (2 pcs)  Gajar Halwa  and Sweet Lassi were disappointing. Sweet Lassi was burnt on the edges. Very unhappy.,2,2025-08-01T14:37:05.174781
REV-000004,ORD-20250727-474364,CUST-10217,REST-AUH-002,Absolutely amazing Vegetable Biryani  Butter Chicken  and Butter Naan! The Vegetable Biryani was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-08-01T17:37:41.174781
REV-000009,ORD-20250803-607088,CUST-10397,REST-DXB-001,Enjoyed the Mango Lassi  Paneer Butter Masala  Fish Curry  Gulab Jamun (2 pcs)  and Kulfi! Mango Lassi was very good. Portion sizes were generous. Recommend!,4,2025-08-04T10:56:24.174781
REV-000007,ORD-20250801-131993,CUST-10495,REST-DXB-001,Good quality food. Palak Paneer were nicely done. Palak Paneer could have been slightly spicier but still good!,4,2025-08-05T10:17:35.174781
REV-000006,ORD-20250731-960728,CUST-10449,REST-DXB-002,Average experience. Fresh Lime Soda  Vegetable Biryani  Malai Kofta  and Butter Naan were fine but Fresh Lime Soda was a bit bland. Room for improvement.,3,2025-08-05T13:58:46.174781
REV-000011,ORD-20250805-632767,CUST-10146,REST-DXB-001,Decent food but nothing special. Chicken Tikka Masala were okay. Chicken Tikka Masala lacked the punch I expected.,3,2025-08-08T16:04:13.174781
REV-000008,ORD-20250801-513916,CUST-10407,REST-DXB-001,Mixed feelings. Fish Curry  Samosa (2 pcs)  Butter Naan  and Tandoori Roti were acceptable. Fish Curry was decent but portion was small for the price.,3,2025-08-08T16:12:19.174781
REV-000010,ORD-20250805-118257,CUST-10183,REST-AUH-002,Pleasant meal! Chicken 65  Butter Chicken  Lamb Rogan Josh  Chicken Biryani  and Jeera Rice arrived warm. Jeera Rice was tasty though not exceptional. Would order again.,4,2025-08-11T12:02:11.174781
REV-000012,ORD-20250806-434148,CUST-10180,REST-AUH-001,Exceptional quality! Ordered Sweet Lassi  Gajar Halwa  and Paneer Tikka and everything was delicious. The Gajar Halwa melted in my mouth. Perfect!,5,2025-08-11T15:17:43.174781
REV-000013,ORD-20250810-601738,CUST-10348,REST-DXB-002,Solid experience. Naan  Gajar Halwa  Chicken Tikka Masala  and Jeera Rice were well-prepared. Chicken Tikka Masala had great flavor. Minor issues with packaging.,4,2025-08-15T11:47:40.174781
REV-000014,ORD-20250813-804715,CUST-10297,REST-SHJ-001,Hands down the best Naan I've ever had! Naan were all prepared beautifully. Fresh and flavorful!,5,2025-08-17T21:54:08.174781
REV-000015,ORD-20250814-503970,CUST-10150,REST-AUH-002,Wow! Just wow! Samosa (2 pcs) and Gulab Jamun (2 pcs) were all fantastic. Samosa (2 pcs) was particularly memorable. Can't wait to order again!,5,2025-08-18T11:00:54.174781
REV-000016,ORD-20250814-950555,CUST-10276,REST-SHJ-001,Hands down the best Naan I've ever had! Gajar Halwa  Butter Naan  Mango Lassi  Naan  and Garlic Naan were all prepared beautifully. Fresh and flavorful!,5,2025-08-19T17:36:42.174781
REV-000018,ORD-20250819-710810,CUST-10203,REST-AUH-001,Solid experience. Butter Chicken and Kulfi were well-prepared. Butter Chicken had great flavor. Minor issues with packaging.,4,2025-08-20T11:51:48.174781
REV-000017,ORD-20250814-251722,CUST-10229,REST-DXB-001,Perfect in every way! Jeera Rice  Naan  Fish Curry  Kulfi  and Lamb Rogan Josh were all excellent. Kulfi stood out with its rich  authentic taste.,5,2025-08-20T22:00:42.174781
REV-000019,ORD-20250819-450316,CUST-10129,REST-AUH-002,Perfect in every way! Gajar Halwa  Palak Paneer  Jeera Rice  and Fresh Lime Soda were all excellent. Palak Paneer stood out with its rich  authentic taste.,5,2025-08-23T16:29:35.174781
REV-000021,ORD-20250821-748839,CUST-10250,REST-AUH-001,Enjoyed the Gajar Halwa! Gajar Halwa was very good. Portion sizes were generous. Recommend!,4,2025-08-24T22:36:08.174781
REV-000020,ORD-20250820-731791,CUST-10474,REST-AUH-001,Absolutely amazing Paneer Tikka! The Paneer Tikka was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-08-26T17:08:18.174781
REV-000022,ORD-20250828-694082,CUST-10449,REST-AUH-002,Absolutely amazing Aloo Tikki Chaat  Sweet Lassi  Dal Makhani  Gajar Halwa  and Malai Kofta! The Gajar Halwa was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-08-30T12:16:54.174781
REV-000023,ORD-20250902-799049,CUST-10183,REST-AUH-001,Expected better. Gulab Jamun (2 pcs)  Mango Lassi  Vegetable Biryani  and Gajar Halwa were subpar. Mango Lassi was too oily and greasy. Stomach upset followed.,2,2025-09-08T13:54:31.174781
REV-000024,ORD-20250909-572638,CUST-10465,REST-SHJ-001,Exceptional quality! Ordered Jeera Rice  Fresh Lime Soda  Paneer Tikka  Samosa (2 pcs)  and Chole Bhature and everything was delicious. The Chole Bhature melted in my mouth. Perfect!,5,2025-09-15T11:23:49.174781
REV-000025,ORD-20250909-898802,CUST-10340,REST-AUH-002,Great food overall. Gulab Jamun (2 pcs)  Palak Paneer  and Tandoori Roti were tasty  especially the Tandoori Roti. Would order again!,4,2025-09-15T15:41:25.174781
REV-000026,ORD-20250911-828607,CUST-10352,REST-SHJ-001,Exceptional quality! Ordered Dal Makhani  Chicken Seekh Kebab  and Samosa (2 pcs) and everything was delicious. The Samosa (2 pcs) melted in my mouth. Perfect!,5,2025-09-16T20:39:44.174781
REV-000028,ORD-20250915-822470,CUST-10357,REST-SHJ-001,Absolutely amazing Chicken Seekh Kebab  Dal Makhani  Chicken 65  Jeera Rice  and Vegetable Biryani! The Chicken 65 was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-09-17T18:08:34.174781
REV-000027,ORD-20250914-759433,CUST-10031,REST-AUH-002,Absolutely amazing Gajar Halwa  Garlic Naan  Paneer Butter Masala  Chole Bhature  and Aloo Tikki Chaat! The Garlic Naan was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-09-19T19:00:57.174781
REV-000030,ORD-20250921-797647,CUST-10197,REST-AUH-002,Hands down the best Naan I've ever had! Naan  Samosa (2 pcs)  Aloo Tikki Chaat  and Malai Kofta were all prepared beautifully. Fresh and flavorful!,5,2025-09-23T21:02:37.174781
REV-000029,ORD-20250920-389956,CUST-10478,REST-AUH-001,Expected better. Garlic Naan were subpar. Garlic Naan was too oily and greasy. Stomach upset followed.,2,2025-09-27T20:24:34.174781
REV-000031,ORD-20250925-432887,CUST-10157,REST-AUH-001,Outstanding experience! The Sweet Lassi  Vegetable Biryani  and Rasmalai (2 pcs) exceeded all expectations. Rasmalai (2 pcs) was the star of the meal. Will definitely order again!,5,2025-09-29T21:48:20.174781
REV-000032,ORD-20250928-767156,CUST-10105,REST-AUH-002,Exceptional quality! Ordered Chicken Biryani and Rasmalai (2 pcs) and everything was delicious. The Chicken Biryani melted in my mouth. Perfect!,5,2025-10-05T15:04:19.174781
REV-000034,ORD-20251003-131477,CUST-10162,REST-DXB-001,Outstanding experience! The Aloo Tikki Chaat exceeded all expectations. Aloo Tikki Chaat was the star of the meal. Will definitely order again!,5,2025-10-06T18:58:43.174781
REV-000033,ORD-20251001-768162,CUST-10427,REST-AUH-002,Very satisfied! Fish Curry were fresh and flavorful. Fish Curry was the standout dish.,4,2025-10-07T18:56:51.174781
REV-000036,ORD-20251010-742113,CUST-10452,REST-AUH-002,Best Indian food in UAE! Palak Paneer  Gulab Jamun (2 pcs)  and Samosa (2 pcs) were incredible. Gulab Jamun (2 pcs) had the perfect balance of spices. Five stars!,5,2025-10-12T10:57:13.174781
REV-000035,ORD-20251006-218035,CUST-10301,REST-AUH-002,Good quality food. Vegetable Biryani were nicely done. Vegetable Biryani could have been slightly spicier but still good!,4,2025-10-12T13:19:14.174781
REV-000037,ORD-20251011-998301,CUST-10350,REST-AUH-002,Best Indian food in UAE! Rasmalai (2 pcs)  Masala Chai  and Chicken Biryani were incredible. Rasmalai (2 pcs) had the perfect balance of spices. Five stars!,5,2025-10-14T22:06:25.174781
REV-000038,ORD-20251012-882541,CUST-10095,REST-DXB-002,Exceptional quality! Ordered Masala Chai  Fish Curry  and Chicken Tikka Masala and everything was delicious. The Masala Chai melted in my mouth. Perfect!,5,2025-10-15T20:37:46.174781
REV-000039,ORD-20251013-305521,CUST-10267,REST-AUH-002,Solid experience. Mango Lassi were well-prepared. Mango Lassi had great flavor. Minor issues with packaging.,4,2025-10-18T21:28:59.174781
